span,label
Annie Russell (AR): Time now for StoryCorps.,['Declarative Clause']
Joseph Rogers Britton has spent 40 years caring for others.,['Declarative Clause']
"In the early days, I used to sit with babies who were positive for HIV",['Declarative Clause']
 And all I did was just hold them and rock and sing.,['Declarative Clause']
You know what the biggest joy was? ,['Interrogative Clause']
"Finding a smile in that small, sick child. ",['Declarative Clause']
That just made my week.,['Declarative Clause']
During the height of the AIDS epidemic in the 1980s Joseph cared for other gay men living with HIV.,['Declarative Clause']
"And, as he told his friend Jeff Moore at StoryCorps, that’s how he fell in love with another caretaker named Steven.",['Declarative Clause']
"We met doing volunteer work, HIV work",['Declarative Clause']
Me caring for someone who was dying with HIV. ,['Declarative Clause']
"Our first dates, for the first six months, were sitting on a porch swing every single day and talking till three in the morning.",['Declarative Clause']
" We missed every single dinner date, every movie. ",['Declarative Clause']
And that led into a thirty year relationship,['Declarative Clause']
And then we found out that we both love gardening.,['Declarative Clause']
"Steven and I used to have a tradition that every fall when the winter freeze on the rose gardens, we would go and raid the roses. ",['Declarative Clause']
"We would snip them all down, and we’re talking about a carload of nothing but roses.",['Declarative Clause']
"And then we would go home, have glasses of wine, and we’d fill up every vessel we could find, whether it’s a soup can, a bottle, or whatever, and we’d secretly run around to every single house of a senior citizen, a single mother. ",['Declarative Clause']
And we’d do this all night long.,['Declarative Clause']
We were giving it out to those who don’t get out.,['Declarative Clause']
"Certainly, that kindness that you emanate has meant a lot to me since I’ve known you.",['Exclamatory Clause']
"When you experience people living and dying together, it breaks it down to the things that are important.",['Declarative Clause']
And it’s not the glitz. ,['Declarative Clause']
It’s the simple touches.,['Declarative Clause']
"You know, so many people… thought that HIV is a death sentence",['Declarative Clause']
I’ve always been very proud of the fact that I’m a living individual with HIV,['Exclamatory Clause']
You see everything as an opportunity because you’re here.,['Declarative Clause']
I can guarantee it,['Declarative Clause']
"And, you really believe and you live – if you put kindness out there, kindness is gonna come back.",['Declarative Clause']
"Over the last year, Mary Johnson-Roy has been getting a steady stream of visitors… all there to basically say one thing…",['Declarative Clause']
"Thank you, Mary",['Declarative Clause']
 I love you.,['Declarative Clause']
I thank you so much just for being in my life,['Declarative Clause']
" I love you, sister Mary",['Declarative Clause']
Thank you Mary Johnson-Roy,['Declarative Clause']
 Mary lives in Minneapolis,['Declarative Clause']
And has spent many years supporting mothers who have lost children to homicide,['Declarative Clause']
"f it wasn’t for Mary, I don’t know where I would be as a grieving mother",['Declarative Clause']
"Well, I know that I wouldn’t be here. ",['Declarative Clause']
"Mary’s dedicated to this work because in 1993, she lost her own son, Laramiun Byrd.",['Declarative Clause']
But there’s something else about Mary that makes her uniquely qualified to do this work…,['Declarative Clause']
Her connection to the man who killed her son…,['Declarative Clause']
My name is Mary Johnson. ,['Declarative Clause']
I am Oshea Israel,['Declarative Clause']
My relationship to Mary Johnson is: I’m her second son.,['Declarative Clause']
" From NPR, this is StoryCorps Then and Now… celebrating 20 years of StoryCorps. ",['Declarative Clause']
I’m Jasmyn Morris,['Declarative Clause']
And I’m Michael Garofalo,['Declarative Clause']
This week… a story you have to hear to believe.,['Declarative Clause']
"Let’s start at the beginning… in the 80s, when Mary Johnson-Roy was a single mother raising her only child in Minneapolis…",['Declarative Clause']
"My son, Laramiun, was intelligent.",['Declarative Clause']
 Sixth grade he was at a twelfth grade reading level,['Declarative Clause']
" He went to a private school, so he was the little preppy.",['Declarative Clause']
"e grew up in church, so he always had a suit on on Sundays.",['Declarative Clause']
Fast forward to 1993…when Laramiun was 20…,['Declarative Clause']
"He was blessed with the brains to do something differently, but that’s the lifestyle that he chose: selling drugs, you know, fast money.",['Declarative Clause']
"One night, he went to a party, where he crossed paths with Oshea Israel, who was 16 at the time",['Declarative Clause']
 They got into a fight… and Oshea shot and killed him,['Declarative Clause']
Oshea was convicted of murder and sent to prison.,['Declarative Clause']
"And over the years, Mary struggled to make sense of what happened to her son",['Declarative Clause']
And after a decade of trying to find peace… she decided to try something different… to visit Oshea in prison.,['Declarative Clause']
" I’m telling you, what took place that day was amazing.",['Declarative Clause']
"That’s Regina Irwin, one of Mary’s closest friends who went with her to the prison that day",['Declarative Clause']
"As Mary was walking up to go to the prison, she stopped and she looked at me, and she said, “Regina, I can’t do it.”",['Declarative Clause']
And Mary was bending down almost like she was in labor.,['Declarative Clause']
"And as we got inside, she eventually told the woman that was gonna take us in to meet Oshea, that she had to go to the restroom",['Declarative Clause']
"And when she came out, she had prayed… and she was ready to go in. ",['Declarative Clause']
"As we were sitting at the table to meet Oshea, they had left a pitcher of water but they didn’t leave a glass for the man that had taken her son’s life",['Declarative Clause']
And Mary said “I will not sit here and not allow him to have a glass that he can drink water from just like everyone else here.”,['Declarative Clause']
And the guards brought in a glass for him to drink,['Declarative Clause']
We’ll let Mary and Oshea tell you what happened next,['Declarative Clause']
This is from a conversation they had in 2011… shortly after Oshea finished serving his sentence,['Declarative Clause']
You and I met at Stillwater Prison,['Declarative Clause']
"I wanted to know if you were in the same mindset of what I remembered from court, where I wanted to go over and hurt you",['Declarative Clause']
 But you were not that 16-year-old. ,['Declarative Clause']
You were a grown man,['Declarative Clause']
 I shared with you about my son.,['Declarative Clause']
And he became human to me.,['Declarative Clause']
"You know, when I met you it was like, ok, this guy is real",['Declarative Clause']
"And then, when it was time to go, you broke down and started shedding tears and the initial thing to do was just try and hold you up as best I can– just hug you like I would my own mother, you know",['Declarative Clause']
" After you left the room, I began to say: ”I just hugged the man that murdered my son.”",['Declarative Clause']
"nd I instantly knew that all that anger and the animosity, all the stuff I had in my heart for 12 years for you– I knew it was over, that I had totally forgiven you. ",['Declarative Clause']
As far as receiving forgiveness from you– sometimes I still don’t know how to take it because I haven’t totally forgiven myself yet.,['Declarative Clause']
