span,label
Annie Russell (AR): Time now for StoryCorps.,['Statement']
Joseph Rogers Britton has spent 40 years caring for others.,['Explain']
"In the early days, I used to sit with babies who were positive for HIV",['Explain']
 And all I did was just hold them and rock and sing.,['Explain']
You know what the biggest joy was? ,['Rhetorical']
"Finding a smile in that small, sick child. ",['Explain']
That just made my week.,['Explain']
During the height of the AIDS epidemic in the 1980s Joseph cared for other gay men living with HIV.,['Statement']
"And, as he told his friend Jeff Moore at StoryCorps, that’s how he fell in love with another caretaker named Steven.",['Explain']
"We met doing volunteer work, HIV work",['Statement']
Me caring for someone who was dying with HIV. ,['Explain']
"Our first dates, for the first six months, were sitting on a porch swing every single day and talking till three in the morning.",['Explain']
" We missed every single dinner date, every movie. ",['Explain']
And that led into a thirty year relationship,['Statement']
And then we found out that we both love gardening.,['Explain']
"Steven and I used to have a tradition that every fall when the winter freeze on the rose gardens, we would go and raid the roses. ",['Explain']
"We would snip them all down, and we’re talking about a carload of nothing but roses.",['Explain']
"And then we would go home, have glasses of wine, and we’d fill up every vessel we could find, whether it’s a soup can, a bottle, or whatever, and we’d secretly run around to every single house of a senior citizen, a single mother. ",['Explain']
And we’d do this all night long.,['Explain']
We were giving it out to those who don’t get out.,['Explain']
"Certainly, that kindness that you emanate has meant a lot to me since I’ve known you.",['Response']
"When you experience people living and dying together, it breaks it down to the things that are important.",['Explain']
And it’s not the glitz. ,['Explain']
It’s the simple touches.,['Explain']
"You know, so many people… thought that HIV is a death sentence",['Explain']
I’ve always been very proud of the fact that I’m a living individual with HIV,['Open-ended Declaration']
You see everything as an opportunity because you’re here.,['Explain']
I can guarantee it,['Response']
"And, you really believe and you live – if you put kindness out there, kindness is gonna come back.",['Explain']
"Over the last year, Mary Johnson-Roy has been getting a steady stream of visitors… all there to basically say one thing…",['Explain']
"Thank you, Mary",['Explain']
 I love you.,['Statement']
I thank you so much just for being in my life,['Statement']
" I love you, sister Mary",['Statement']
Thank you Mary Johnson-Roy,['Statement']
 Mary lives in Minneapolis,['Explain']
And has spent many years supporting mothers who have lost children to homicide,['Explain']
"f it wasn’t for Mary, I don’t know where I would be as a grieving mother",['Explain']
"Well, I know that I wouldn’t be here. ",['Explain']
"Mary’s dedicated to this work because in 1993, she lost her own son, Laramiun Byrd.",['Explain']
But there’s something else about Mary that makes her uniquely qualified to do this work…,['Explain']
Her connection to the man who killed her son…,['Explain']
My name is Mary Johnson. ,['Explain']
I am Oshea Israel,['Explain']
My relationship to Mary Johnson is: I’m her second son.,['Explain']
" From NPR, this is StoryCorps Then and Now… celebrating 20 years of StoryCorps. ",['Explain']
I’m Jasmyn Morris,['Explain']
And I’m Michael Garofalo,['Explain']
This week… a story you have to hear to believe.,['Explain']
"Let’s start at the beginning… in the 80s, when Mary Johnson-Roy was a single mother raising her only child in Minneapolis…",['Explain']
"My son, Laramiun, was intelligent.",['Explain']
 Sixth grade he was at a twelfth grade reading level,['Explain']
" He went to a private school, so he was the little preppy.",['Explain']
"e grew up in church, so he always had a suit on on Sundays.",['Explain']
Fast forward to 1993…when Laramiun was 20…,['Explain']
"He was blessed with the brains to do something differently, but that’s the lifestyle that he chose: selling drugs, you know, fast money.",['Explain']
"One night, he went to a party, where he crossed paths with Oshea Israel, who was 16 at the time",['Explain']
 They got into a fight… and Oshea shot and killed him,['Explain']
Oshea was convicted of murder and sent to prison.,['Explain']
"And over the years, Mary struggled to make sense of what happened to her son",['Explain']
And after a decade of trying to find peace… she decided to try something different… to visit Oshea in prison.,['Explain']
" I’m telling you, what took place that day was amazing.",['Explain']
"That’s Regina Irwin, one of Mary’s closest friends who went with her to the prison that day",['Explain']
"As Mary was walking up to go to the prison, she stopped and she looked at me, and she said, “Regina, I can’t do it.”",['Explain']
And Mary was bending down almost like she was in labor.,['Explain']
"And as we got inside, she eventually told the woman that was gonna take us in to meet Oshea, that she had to go to the restroom",['Explain']
"And when she came out, she had prayed… and she was ready to go in. ",['Explain']
"As we were sitting at the table to meet Oshea, they had left a pitcher of water but they didn’t leave a glass for the man that had taken her son’s life",['Explain']
And Mary said “I will not sit here and not allow him to have a glass that he can drink water from just like everyone else here.”,['Explain']
And the guards brought in a glass for him to drink,['Explain']
We’ll let Mary and Oshea tell you what happened next,['Explain']
